Facility UUID,State,LGA,Facility name,Gap area,Gap condition,Intervention,When action is needed
98abf32e-5a82-4d83-b04c-bb3fede3dcf7,jigawa,roni,takwardawa_primary_health_centre,Mobile-network feasibility,Network extension required,,none recorded
c2f0e701-7820-45bf-a64c-91bf081e86bc,anambra,idemili_south,alor_1_primary_health_centre,Backup-power,Backup is partially functional,,none recorded
c2f0e701-7820-45bf-a64c-91bf081e86bc,anambra,idemili_south,alor_1_primary_health_centre,Backup-connectivity,Personal hotspot or USB backup option,,none recorded
c2f0e701-7820-45bf-a64c-91bf081e86bc,anambra,idemili_south,alor_1_primary_health_centre,Data-backup,No data-backup capability reported,,none recorded
a8522d38-ccd0-4cd9-a3c6-ad16fb276e22,anambra,idemili_south,nnokwa_primary_health_centre,Backup-power,"Grid and functional backup are available, but backup runtime is below 9 hours",,none recorded
a8522d38-ccd0-4cd9-a3c6-ad16fb276e22,anambra,idemili_south,nnokwa_primary_health_centre,Backup-connectivity,No backup internet option confirmed,,none recorded
a8522d38-ccd0-4cd9-a3c6-ad16fb276e22,anambra,idemili_south,nnokwa_primary_health_centre,Data-backup,No data-backup capability reported,,none recorded
ab7f0b5d-78df-4e35-9779-34390e6c9a45,nasarawa,nasarawa_eggon,kagbu_a_primary_health_centre,Backup-power,"Grid and functional backup are available, but backup runtime is below 9 hours",,none recorded
ab7f0b5d-78df-4e35-9779-34390e6c9a45,nasarawa,nasarawa_eggon,kagbu_a_primary_health_centre,Backup-connectivity,No backup internet option confirmed,,none recorded
ab7f0b5d-78df-4e35-9779-34390e6c9a45,nasarawa,nasarawa_eggon,kagbu_a_primary_health_centre,Data-backup,Manual data-backup capability,,none recorded
ab7f0b5d-78df-4e35-9779-34390e6c9a45,nasarawa,nasarawa_eggon,kagbu_a_primary_health_centre,Mobile-network feasibility,No serviceable mobile pathway,,none recorded
fa5cbf92-e788-4001-872f-d821b6e8d761,imo,owerri_municipal,area_l_primary_health_centre,Backup-power,"Grid and functional backup are available, but backup runtime is below 9 hours",,none recorded
fa5cbf92-e788-4001-872f-d821b6e8d761,imo,owerri_municipal,area_l_primary_health_centre,Backup-connectivity,No backup internet option confirmed,,none recorded
da663373-6385-4e68-9bd4-d3ed13968d2d,nasarawa,nasarawa_eggon,lambaga_north_primary_health_centre,Backup-connectivity,No backup internet option confirmed,,none recorded
da663373-6385-4e68-9bd4-d3ed13968d2d,nasarawa,nasarawa_eggon,lambaga_north_primary_health_centre,Data-backup,No data-backup capability reported,,none recorded
da663373-6385-4e68-9bd4-d3ed13968d2d,nasarawa,nasarawa_eggon,lambaga_north_primary_health_centre,Mobile-network feasibility,No serviceable mobile pathway,,none recorded
97154baf-6a16-4ef9-988a-54185957c817,jigawa,roni,sankau_primary_health_centre,Backup-power,"Grid and functional backup are available, but backup runtime is below 9 hours",,none recorded
97154baf-6a16-4ef9-988a-54185957c817,jigawa,roni,sankau_primary_health_centre,Backup-connectivity,Personal hotspot or USB backup option,,none recorded
