facility_uuid,state,lga,facility,domains_with_a_major_gap
57ecef33-10d5-4966-908a-43e3da32ecff,kano,makoda,dr_wada_waziri_basic_health_clinic,Workflow and Transition
1bfe3a5d-356b-44f8-a911-f7bc6b3ae06d,kano,garko,kafir_chiri_basic_health_clinic,Workflow and Transition
b0371b3b-03a1-40a1-9d97-1ece8ae0795b,kano,karaye,yammedi_model_primary_health_centre,Workforce Capacity; Workflow and Transition
a8db3bcb-21e3-4afa-82d5-f7eeb31e7e6c,anambra,onitsha_south,queen_of_peace_health_post,Workforce Capacity
9d649452-9828-4926-90a6-dfde9c7da50a,kano,karaye,karaye_comprehensive_health_centre,Workforce Capacity; Workflow and Transition
d9bc7eaf-42f7-44ec-b039-e123e1cf3db3,kano,garun_malam,dorawar_sallau_health_post,Workforce Capacity; Workflow and Transition
d97170e9-6cc2-43df-9d58-a61ad44342d6,anambra,nnewi_north,obiu_uruagu_primary_health_centre,Workflow and Transition
81e474cd-b710-4565-9c99-81a3e83a96a4,rivers,ogubolo,bolo_primary_health_centre,Workforce Capacity
40bd73f4-c127-498b-9113-ef027646d7bc,bauchi,toro,lame_maternal_and_child_health,Workflow and Transition
951604c0-5eca-4dbc-a2ec-cbdf4c8ec6f5,anambra,njikoka,ire_abba_primary_health_centre,Workforce Capacity
265baf56-dfb1-4b6a-800e-0c6dc26fd830,anambra,njikoka,abba_primary_health_centre,Workflow and Transition
bafb56bf-7d21-402c-be2e-f9199d49b963,anambra,ayamelum,umueje_primary_health_centre,Workforce Capacity
b48c2396-8447-41f9-bd05-de67142a67c0,anambra,ayamelum,omasi_agu_primary_health_centre,Workforce Capacity
8006dcaf-8a1d-4502-b4f5-909c5c35717e,anambra,ayamelum,akanato_primary_health_centre,Workforce Capacity
580219cc-6850-4a0b-807f-7a45b1afee69,kano,danbatta,tona_health_clinic,Workforce Capacity
abf5632a-9f1b-4fc7-818a-2b8a7a971641,kano,danbatta,kore_model_primary_health_centre,Workflow and Transition
19e27ff3-83d0-46eb-a09a-f8f4fe82a7a1,kano,danbatta,goron_maje_basic_health_clinic,Workforce Capacity
e718f58f-4d51-4f97-b525-89e84f05b18b,rivers,gokana,bomu_model_primary_health_centre,Workflow and Transition
10d5de52-9612-401b-8543-c98b286fb390,anambra,ayamelum,anaku_primary_health_centre,Workforce Capacity
a031bb85-f2bb-4cfb-85d6-44d014356a5d,kano,kunchi,shuwaki_model_primary_health_centre,Workforce Capacity
