facility_uuid,state,lga,facility,package,workbook_readiness,dashboard_readiness,power_fix,connectivity_fix
a8db3bcb-21e3-4afa-82d5-f7eeb31e7e6c,anambra,onitsha_south,queen_of_peace_health_post,Full solar system only,Not ready,Ready,,
228c3940-01d1-4115-98f1-d770d82b0042,anambra,onitsha_south,recreation_phc,Full solar system only,Not ready,Moderately ready,,FibreX
c12ca6d0-dd6d-41ec-9c45-185c327adb9f,anambra,onitsha_south,bridge_head_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
98f29f14-eb83-4fd4-a115-f8038a48dcd9,nasarawa,lafia,fadama_north_primary_health_centre,Router only,Ready,Moderately ready,Solar top-up,Router
98f29f14-eb83-4fd4-a115-f8038a48dcd9,nasarawa,lafia,fadama_north_primary_health_centre,Full solar system only,Not ready,Moderately ready,Solar top-up,Router
310cce65-8ede-4cde-b5ed-65d9d5923700,akwa_ibom,ikono,nung_udoe_itak_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
ae04df4e-d537-4d82-b0f4-aad1ada71ed7,lagos,kosofe,maidan_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
f5ee09c3-4472-460e-889e-bc6d7d4a7d8d,imo,mbaitoli,ubommiri_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
2815da27-116a-4f26-aa76-ca333fce5502,imo,owerri_north,emii_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
ea6358fc-b439-4ea5-af63-44cac5b68737,adamawa,lamurde,ngbakawo_primary_health_centre,Router only,Ready,Moderately ready,Solar top-up,Router
ea6358fc-b439-4ea5-af63-44cac5b68737,adamawa,lamurde,ngbakawo_primary_health_centre,Full solar system only,Not ready,Moderately ready,Solar top-up,Router
b20dc8d6-6881-48a6-8914-04b838ac8cc8,adamawa,song,b_clinic_health_centre,Full solar system only,Not ready,Moderately ready,,Router
91208d38-3855-414e-8d4e-ada03afa8f91,niger,mashegu,makera_primary_health_centre_mphc,Full solar system only,Not ready,Moderately ready,,Router
9d649452-9828-4926-90a6-dfde9c7da50a,kano,karaye,karaye_comprehensive_health_centre,Full solar system only,Not ready,Ready,,
02e6343f-6c11-4293-b456-624f9ec1c62a,lagos,epe,agbowa_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
4853f020-b0e1-4ab3-8564-af7395822b26,bauchi,shira,zubo_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
4432bdce-0dde-446d-92bd-a1e80cf76fd8,imo,ohajiegbema,mgbirichi_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
4432bdce-0dde-446d-92bd-a1e80cf76fd8,imo,ohajiegbema,mgbirichi_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
8625a0ab-7c93-4166-a57f-315df7aa5b38,imo,ohajiegbema,umuapu_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
8625a0ab-7c93-4166-a57f-315df7aa5b38,imo,ohajiegbema,umuapu_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
c07685a3-d449-465c-b0b8-fce16f406d08,imo,ohajiegbema,mgbuisii_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
c07685a3-d449-465c-b0b8-fce16f406d08,imo,ohajiegbema,mgbuisii_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
bc9bb54e-be94-456d-8747-752b5d7d0353,bauchi,shira,disina_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
