Facility UUID,State,LGA,Facility name,Gap area,Gap condition,Intervention,When action is needed
ec551595-7dea-404a-9406-0dc0aa5978bd,adamawa,mubi_north,vimtim_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
3719801d-4a8c-4737-82d9-bb0f5bb96835,nasarawa,awe,akiri_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
2be7e62e-3f7b-41b5-84f0-60010cdd9b36,anambra,awka_north,ebenebe_1_ofuobi_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
a23a79d9-1b7a-49b3-a89b-d9b1aa26002e,niger,paikoro,baidna_maternal_and_child_health,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
e58d38da-8d3f-420b-9c94-7a572e77bb06,oyo,ibadan_north_east,st_mary_health_post_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
61df24b4-278b-4d1b-972b-b5263e2b5011,nasarawa,nasarawa,ara_1_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
41396caf-fa8e-4edf-b1bf-164d88c58954,kano,kano_minicipal_council,dan_agundi_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
3f816eab-3814-45ed-bc86-dd89256e638d,oyo,afijo,ilora_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
0c423ec1-f3a9-4dad-9904-c5b930e3c855,anambra,awka_south,umuogbunu_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
6955c0d2-5457-4b7d-b1c5-8a6a5f7195e1,anambra,awka_south,amikwo_awka_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
1a242f64-792f-472d-93eb-f845a7457fb1,kano,kabo,unguwarturaki_health_post,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
4b4c62eb-e8fe-4b94-b4cd-15038944d875,kano,fagge,yammata_health_clinic,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
f3b51830-6550-472d-b429-7d794c467edb,kano,kano_minicipal_council,unguwar_gini_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
029d158f-66a3-4c32-a467-9223dde25abd,kano,fagge,rijiyar_lemo_maternal_and_child_health,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
00028514-2273-4425-9974-32c176c729c9,adamawa,michika,wabilimi_maternal_and_child_health,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
2ebcfc83-bb87-4314-a679-bbb1ee7ceb16,adamawa,michika,kuburoshosho_maternal_and_child_health,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
c41d7174-1b5d-4dd5-8de0-e9aa1cd2db33,adamawa,michika,kofan_sarki_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
133a8e99-6a9e-4218-b31a-b56f8ca80704,kano,wudil,utai_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
e29efe0c-9757-42a8-bd69-59678c1ae131,kano,wudil,wudil_kofar_fada_health_post,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
0accd5d5-9808-488a-aaf8-27c72f32d2d1,kano,wudil,achika_health_post,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
b58550fd-18a6-4381-8439-3012dceaf57b,bauchi,alkaleri,y_duguri_mphc_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
98f39c91-f318-4399-8108-243555cfc222,bauchi,alkaleri,gaji_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
c0867a42-29bc-4be8-b0fc-7d5906e94739,bauchi,alkaleri,duguri_health_clinic,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
813ff0c0-7ea5-458f-ba6d-0c0ca7f1a3bc,anambra,awka_south,umuzuocha_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
0cbbf18d-10f5-4344-9488-b677cc4d72a2,anambra,awka_south,umudioka_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
