facility_uuid,state,lga,facility,gap_area,action,when_action_is_needed,cost_ngn
6e75e6db-a737-4ade-b9cc-5ed59507f07f,akwa_ibom,ini,odoro_ikpe_operational_base_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
b0371b3b-03a1-40a1-9d97-1ece8ae0795b,kano,karaye,yammedi_model_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
0ea91dd3-40ab-4f09-8f27-9b56b8ada4e3,imo,ikeduru,atta_ii_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
10c0beaa-0524-4100-b097-fc375e5ab3de,akwa_ibom,abak,midim_health_centre,Wiring,Install 3 socket points,Minor action to complete during EMR deployment,9000
3c05c9a9-3d47-4eba-8a51-10491929a03f,akwa_ibom,ikono,etip_ediene_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
690604a1-d4a1-4a65-8da9-a65889df9ff2,imo,ikeduru,atta_i_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
02dfb603-26cf-49ab-b652-34b6ed192e84,kano,kunchi,kasuwar_kuka_mphc_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
cd446d82-692c-4519-853f-afae21e37e14,akwa_ibom,abak,afaha_obong_health_centre,Wiring,Install 5 socket points,Minor action to complete during EMR deployment,15000
b20dc8d6-6881-48a6-8914-04b838ac8cc8,adamawa,song,b_clinic_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
91208d38-3855-414e-8d4e-ada03afa8f91,niger,mashegu,makera_primary_health_centre_mphc,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
9d649452-9828-4926-90a6-dfde9c7da50a,kano,karaye,karaye_comprehensive_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
2a9379d0-2815-484b-9127-d14e80783b95,kano,wudil,lajawa_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
d9bc7eaf-42f7-44ec-b039-e123e1cf3db3,kano,garun_malam,dorawar_sallau_health_post,Physical service-point,Procure 1 electric fan | Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,60000
6fa05d68-5e8c-4f6d-8fbf-fca6eef28e97,akwa_ibom,onna,ukpana_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
f07f719a-7f9d-458b-8d4f-afa14f97e930,kano,karaye,turawa_model_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
f17d0768-84d0-4ff0-bbf8-62724df2c8a3,oyo,ona_ara,amuloko_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
ad32dbee-8532-46af-a786-7f75fa4d3749,kano,kabo,godiya_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
9f7703a0-db78-4cf5-a69a-0be1c6241d52,oyo,ona_ara,olorunsogo_babarere_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
175fda2f-6f52-4242-aa8f-e2770d3137f7,kano,kabo,garo_primary_health_centre,Physical service-point,Procure 1 desk,Minor action to complete during EMR deployment,35000
ba9a6f21-1ee8-488d-8a34-bdd8d9d86dc3,akwa_ibom,onna,abat_primary_health_centre,Physical service-point,Procure 1 desk,Minor action to complete during EMR deployment,35000
66164375-1d72-4ade-812a-c5898b1a030f,kano,takai,fajewa_m_p_h_c_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
119efc77-a0ae-4206-8068-484c6c2bfffe,akwa_ibom,oruk_anam,ikot_esenam_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
edfda345-5301-44a5-9c41-203c3dd925bb,akwa_ibom,oruk_anam,ekparakwa_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
edfda345-5301-44a5-9c41-203c3dd925bb,akwa_ibom,oruk_anam,ekparakwa_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
864c20ad-067a-4cd2-896d-afa3c283de0b,imo,owerri_west,irette_primary_health_centre,Physical service-point,Procure 1 desk | Procure 1 patient chair | Procure 1 staff chair | Procure 1 electric fan,Minor action to complete during EMR deployment,145000
f70fa62f-b66c-4143-a8ca-de90fd3a606f,akwa_ibom,onna,mkpok_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
e9143952-cfd1-42a6-8bfd-06609c5a2cd1,anambra,nnewi_south,ebenator_primary_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
d636b0eb-a5b1-4749-9237-9d72c1e430f2,adamawa,numan,bamatato_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
2cb2bf70-9d4f-4f69-b458-cf625775d4cc,imo,ezinihitte,eziudo_primary_health_centre,Physical service-point,Procure 1 staff chair,Minor action to complete during EMR deployment,25000
17ad418e-eea2-48df-b751-33e4065c5d8d,niger,mashegu,kwatachi_primary_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
8f5fa75e-5862-4530-9014-3d0ecac9c01a,jigawa,garki,kore_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
98aa335b-f558-4978-8e33-fc04137571af,adamawa,song,zumo_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
fb04ebd8-c575-4666-9945-8fe9f1d11372,bauchi,zaki,gumai_maternal_and_child_health,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
c3cd99fc-53dd-44d5-8063-ead8b5e6b93a,bauchi,zaki,katagum_town_maternal_and_child_health,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
f79e42ad-cf5c-4208-8e8b-761b0e737b1c,bauchi,zaki,mainako_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
e8f78812-7157-4b48-8d5c-5419fb89340d,bauchi,zaki,garingami_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
331a193f-29f1-4fbe-87b2-0bb81460f0fd,imo,ideato_south,umulewe_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
b0e22069-f03c-411f-93e8-030dec8b4e05,anambra,njikoka,enugwu_agidi_primary_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
201be8ec-4aae-49b2-b0fd-b046fecefddd,imo,oru_east,amiri_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
201be8ec-4aae-49b2-b0fd-b046fecefddd,imo,oru_east,amiri_primary_health_centre,Physical service-point,Procure 1 patient chair | Procure 1 staff chair,Minor action to complete during EMR deployment,50000
3fce4816-0418-4c46-8994-92ade7db6017,niger,magama,auna_primary_clinic_health_centre,Wiring,Install 5 socket points,Minor action to complete during EMR deployment,15000
6aca4e4c-8d28-4a83-98c7-bdd9f162a29a,imo,owerri_north,naze_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
1c7ea566-01b2-4c57-b696-c96f69323002,bauchi,toro,balarabe_primary_health_centre,Wiring,Install 3 socket points,Minor action to complete during EMR deployment,9000
7e9860cc-0998-49f5-bc66-47d8525acdf8,kano,karaye,tinkis_health_post,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
7e9860cc-0998-49f5-bc66-47d8525acdf8,kano,karaye,tinkis_health_post,Physical service-point,Procure 1 electric fan | Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,60000
b5d2c819-b190-4884-b8b1-cb8c6221ff37,kano,kunchi,yandadi_model_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
a6395580-7960-4fef-8bb6-26a0825c8aa2,kano,karaye,daura_health_post,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
3d11a284-ece6-49ec-a67e-dd3e4d88df84,kano,karaye,yola_model_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
0cc701df-730f-4c01-8c0f-23be2a8997bb,niger,suleja,madalla_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
c48924d5-ef98-4a54-b59d-ac05aa81f664,anambra,njikoka,umudiabor_primary_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
9a59bd6e-a052-41af-89b7-67142a4f0a83,anambra,njikoka,egbengwu_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
deb66c1f-9688-4565-9e63-b60a86215015,oyo,oyo_east,ayedoyin_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
83a77b90-dbc5-4c48-a56a-f6cb173c8bb8,imo,ezinihitte,ife_primary_health_centre,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
580219cc-6850-4a0b-807f-7a45b1afee69,kano,danbatta,tona_health_clinic,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
5b64b426-082e-4e7b-b959-c3e806205f56,oyo,iwajowa,ajinati_health_post,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
0cd1bbb4-e8ee-40db-be0c-507231f357f7,niger,rafi,kwana_basic_health_centre,Wiring,Install 4 socket points,Minor action to complete during EMR deployment,12000
d559c1b4-b323-4484-933d-cb6566b213ab,niger,mariga,mariga_comprehensive_health_centre,Wiring,Install 4 socket points,Minor action to complete during EMR deployment,12000
f50eb1b6-bc97-46a5-85cb-8343286ae94a,jigawa,ringim,kyarama_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
